afiseazaProduse,2022-05-20 14:35:27.186
afiseazaRestaurante,2022-05-20 14:35:57.525
adaugaClient,2022-05-20 14:36:15.749
closeApp,2022-05-20 14:38:10.474
adaugaClient,2022-05-20 15:13:40.924
afiseazaProduse,2022-05-20 15:14:15.484
afiseazaRestaurante,2022-05-20 15:14:22.027
loginClient,2022-05-20 15:14:34.104
afiseazaProduse,2022-05-20 15:14:37.022
afiseazaRestaurante,2022-05-20 15:14:39.704
afiseazaRezervariDupaClient,2022-05-20 15:14:41.883
adaugaRezervare,2022-05-20 15:15:00.271
afiseazaRezervariDupaClient,2022-05-20 15:15:12.857
closeApp,2022-05-20 15:22:44.042
loginClient,2022-05-20 15:23:31.45
loginClient,2022-05-20 15:29:11.243
loginClient,2022-05-20 15:29:47.043
loginClient,2022-05-20 15:38:03.339
afiseazaProduse,2022-05-20 15:38:05.575
afiseazaRestaurante,2022-05-20 15:38:07.627
afiseazaRezervariDupaClient,2022-05-20 15:38:08.579
adaugaRezervare,2022-05-20 15:39:13.362
closeApp,2022-05-20 15:39:27.925
loginClient,2022-05-20 15:45:52.196
afiseazaRezervariDupaClient,2022-05-20 15:45:55.557
adaugaRezervare,2022-05-20 15:46:07.496
loginClient,2022-05-20 16:54:25.261
afiseazaRezervariDupaClient,2022-05-20 16:54:27.391
adaugaRezervare,2022-05-20 16:54:37.516
loginClient,2022-05-20 16:56:14.441
adaugaRezervare,2022-05-20 16:56:24.722
afiseazaRezervariDupaClient,2022-05-20 16:56:28.063
modificaRezervare,2022-05-20 16:56:48.293
afiseazaRezervariDupaClient,2022-05-20 16:56:50.765
stergeRezervare,2022-05-20 16:57:04.308
afiseazaRezervariDupaClient,2022-05-20 16:57:05.594
closeApp,2022-05-20 16:57:12.875
loginAngajat,2022-05-20 16:57:22.724
afiseazaClienti,2022-05-20 16:57:27.649
afiseazaRezervari,2022-05-20 16:57:35.612
adaugaBautura,2022-05-20 16:58:07.391
afiseazaProduse,2022-05-20 16:58:11.031
stergeBautura,2022-05-20 16:58:31.372
afiseazaProduse,2022-05-20 16:58:35.642
stergeBautura,2022-05-20 16:58:48.541
afiseazaProduse,2022-05-20 16:58:50.869
stergeBautura,2022-05-20 16:58:59.211
afiseazaProduse,2022-05-20 16:59:00.409
modificaNotaClient,2022-05-20 16:59:21.655
afiseazaClienti,2022-05-20 16:59:24.199
closeApp,2022-05-20 16:59:36.674
loginAngajat,2022-05-20 16:59:45.728
afiseazaAngajati,2022-05-20 17:00:09.872
stergeAngajat,2022-05-20 17:00:20.673
afiseazaAngajati,2022-05-20 17:00:23.558
stergeClient,2022-05-20 17:01:00.104
afiseazaClienti,2022-05-20 17:01:04.327
closeApp,2022-05-20 17:01:28.99
loginAngajat,2022-05-26 13:59:06.591
afiseazaClienti,2022-05-26 13:59:08.403
afiseazaProduse,2022-05-26 13:59:20.77
adaugaBautura,2022-05-26 13:59:50.584
afiseazaProduse,2022-05-26 13:59:53.615
modificaBautura,2022-05-26 14:00:21.157
afiseazaProduse,2022-05-26 14:00:22.937
modificaBautura,2022-05-26 14:00:53.317
