
adaugaClient,2022-04-28 16:40:57.474
afiseazaProduse,2022-04-28 16:41:03.78
afiseazaRestaurante,2022-04-28 16:41:06.066
loginClient,2022-04-28 16:41:14.893
afiseazaRezervariDupaClient,2022-04-28 16:41:18.265
adaugaRezervare,2022-04-28 16:41:37.781
afiseazaRezervariDupaClient,2022-04-28 16:41:41.708
loginAngajat,2022-04-28 16:42:03.496
afiseazaClienti,2022-04-28 16:42:07.5
afiseazaRezervari,2022-04-28 16:42:20.043
modificaAliment,2022-04-28 16:43:31.624
closeApp,2022-04-28 16:43:35.261
afiseazaProduse,2022-04-28 16:43:52.943
afiseazaRestaurante,2022-04-28 16:43:54.32
closeApp,2022-04-28 16:43:57.607
afiseazaProduse,2022-05-05 12:54:11.863
afiseazaRestaurante,2022-05-05 12:54:25.667
adaugaClient,2022-05-05 12:56:02.124
loginClient,2022-05-05 12:56:09.655
afiseazaProduse,2022-05-05 12:56:13.484
afiseazaRestaurante,2022-05-05 12:56:15.865
afiseazaRestaurante,2022-05-05 12:56:19.302
afiseazaRezervariDupaClient,2022-05-05 12:56:22.235
adaugaRezervare,2022-05-05 12:56:38.924
afiseazaRezervariDupaClient,2022-05-05 12:56:42.466
modificaRezervare,2022-05-05 12:57:28.665
afiseazaRezervariDupaClient,2022-05-05 12:57:31.683
stergeRezervare,2022-05-05 12:57:44.724
afiseazaRezervariDupaClient,2022-05-05 12:57:47.076
loginAngajat,2022-05-05 12:58:05.169
afiseazaClienti,2022-05-05 12:58:11.068
afiseazaRestaurante,2022-05-05 12:58:18.209
afiseazaRezervari,2022-05-05 12:58:22.32
afiseazaAngajati,2022-05-05 12:58:26.6
adaugaClient,2022-05-05 12:58:53.443
afiseazaClienti,2022-05-05 12:58:54.874
adaugaBautura,2022-05-05 12:59:26.44
afiseazaProduse,2022-05-05 12:59:31.702
afiseazaRezervari,2022-05-05 13:00:05.024
afiseazaRezervari,2022-05-05 13:00:12.565
afiseazaClienti,2022-05-05 13:00:35.327
adaugaRezervare,2022-05-05 13:01:02.925
afiseazaRezervari,2022-05-05 13:01:05.326
modificaAngajat,2022-05-05 13:01:37.938
afiseazaAngajati,2022-05-05 13:01:41.204
stergeAngajat,2022-05-05 13:01:55.862
afiseazaAngajati,2022-05-05 13:01:58.841
stergeRestaurant,2022-05-05 13:02:08.228
afiseazaRestaurante,2022-05-05 13:02:12.696
closeApp,2022-05-05 13:02:26.747
loginAngajat,2022-05-05 13:02:54.374
modificaNotaClient,2022-05-05 13:03:16.603
afiseazaClienti,2022-05-05 13:03:19.987
closeApp,2022-05-05 13:03:33.287
loginAngajat,2022-05-05 13:07:17.386
adaugaRestaurant,2022-05-05 13:07:31.733
adaugaRestaurant,2022-05-05 13:07:50.089
adaugaRestaurant,2022-05-05 13:07:53.934
adaugaRestaurant,2022-05-05 13:07:57.108
adaugaRestaurant,2022-05-05 13:08:00.119
adaugaRestaurant,2022-05-05 13:08:04.522
adaugaRestaurant,2022-05-05 13:08:07.407
adaugaRestaurant,2022-05-05 13:08:11.115
loginAngajat,2022-05-05 13:08:41.793
adaugaRestaurant,2022-05-05 13:08:45.103
adaugaRestaurant,2022-05-05 13:08:48.363
adaugaRestaurant,2022-05-05 13:08:51.673
adaugaRestaurant,2022-05-05 13:08:54.45
adaugaRestaurant,2022-05-05 13:08:59.274
adaugaRestaurant,2022-05-05 13:09:01.519
adaugaRestaurant,2022-05-05 13:09:04.348
adaugaRestaurant,2022-05-05 13:09:06.796
loginAngajat,2022-05-05 13:09:41.498
adaugaRestaurant,2022-05-05 13:09:44.172
adaugaRestaurant,2022-05-05 13:09:46.525
adaugaRestaurant,2022-05-05 13:09:48.482
adaugaRestaurant,2022-05-05 13:09:50.718
adaugaRestaurant,2022-05-05 13:09:52.751
adaugaRestaurant,2022-05-05 13:09:55.189
adaugaRestaurant,2022-05-05 13:09:57.388
adaugaRestaurant,2022-05-05 13:10:00.53
afiseazaRestaurante,2022-05-05 13:10:03.586
adaugaRestaurant,2022-05-05 13:10:13.834
adaugaRestaurant,2022-05-05 13:10:21.958
afiseazaRestaurante,2022-05-05 13:10:30.315
closeApp,2022-05-05 13:10:36.119
